"COU","Country","WASTE","Waste category","WST_OPER","Waste management operations","UNIT","Unit of measure","YEA","Year","Value","Flag Codes","Flags"
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2005","2005",7.82,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2006","2006",18.966,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2007","2007",20.156,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2008","2008",20.629,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2009","2009",19.18,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2010","2010",19.831,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2011","2011",19.144,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2012","2012",18.782,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2013","2013",18.385,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2014","2014",19.35,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2015","2015",21.629,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2016","2016",23.793,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2017","2017",24.03,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2018","2018",26.418,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2019","2019",27.147,,
"AUT","Austria","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2020","2020",30.361,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2005","2005",2.346,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2006","2006",7.575,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2007","2007",7.779,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2008","2008",8.983,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2009","2009",9.059,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2010","2010",8.881,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2011","2011",8.996,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2012","2012",9.186,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2013","2013",9.064,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2014","2014",9.097,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2015","2015",9.299,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2016","2016",9.7,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2017","2017",13.243,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2018","2018",13.172,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2019","2019",14.987,,
"AUT","Austria","EE6","Total waste","COL","Waste collected","KG_HAB","Kilograms per capita","2020","2020",15.697,,
"AUT","Austria","EE6","Total waste","RCY","Recycling","KG_HAB","Kilograms per capita","2019","2019",11.161,,
"AUT","Austria","EE6","Total waste","RCY","Recycling","KG_HAB","Kilograms per capita","2020","2020",11.809,,
"AUT","Austria","EE_TEE","Temperature exchange equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2019","2019",4.142,,
"AUT","Austria","EE_TEE","Temperature exchange equipment","MKT","Products put on the market","KG_HAB","Kilograms per capita","2020","2020",4.66,,
"AUT","Austria","EE_TEE","Temperature exchange equipment","COL","Waste collected","KG_HAB","Kilograms per capita","2019","2019",1.657,,
"AUT","Austria","EE_TEE","Temperature exchange equipment","COL","Waste collected","KG_HAB","Kilograms per capita","2020","2020",1.735,,
"AUT","Austria","EE_TEE","Temperature exchange equipment","RCY","Recycling","KG_HAB","Kilograms per capita","2019","2019",1.447,,
"AUT","Austria","EE_TEE","Temperature exchange equipment","RCY","Recycling","KG_HAB","Kilograms per capita","2020","2020",1.464,,
"AUT","Austria","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2019","2019",1.572,,
"AUT","Austria","EE_SME","Screens and monitors","MKT","Products put on the market","KG_HAB","Kilograms per capita","2020","2020",1.843,,
"AUT","Austria","EE_SME","Screens and monitors","COL","Waste collected","KG_HAB","Kilograms per capita","2019","2019",1.148,,
"AUT","Austria","EE_SME","Screens and monitors","COL","Waste collected","KG_HAB","Kilograms per capita","2020","2020",1.092,,
"AUT","Austria","EE_SME","Screens and monitors","RCY","Recycling","KG_HAB","Kilograms per capita","2019","2019",0.896,,
"AUT","Austria","EE_SME","Screens and monitors","RCY","Recycling","KG_HAB","Kilograms per capita","2020","2020",0.867,,
